FinDate,Institutional_sector_name,Institutional_sector_code,Descriptor,SNA08TRANS,Asset_liability_code,Status,Values
2011-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-142
2012-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-145
2013-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-189
2014-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-260
2015-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-276
2016-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-322
2017-12-31,Corporate business enterprises,141,ISA Net capital taxes receivable,D910000,ISA,FINAL,-381
2008-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-630
2009-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-543
2010-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-359
2011-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,4198
2012-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,81
2013-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,-160
2014-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,-174
2015-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,-286
2016-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,REVISED,-385
2017-12-31,Corporate business enterprises,141,ISA Net capital transfers receivable,D990000,ISA,FINAL,281
2008-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,FINAL,-8924
2009-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,FINAL,-7375
2010-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,4431
2011-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,3202
2012-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,-5123
2013-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,-2753
2014-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,-1305
2015-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,-1448
2016-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,REVISED,534
2017-12-31,Corporate business enterprises,141,Capital Account Net lending (+) / net borrowing (-) ISA,B09C000,ISA,FINAL,-1787
2008-12-31,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,REVISED,243315
2009-12-31,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,REVISED,259381
2010-12-31,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,REVISED,262596
2011-12-31,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,REVISED,267100
2012-12-31,Corporate business enterprises,141,Capital Account Closing balances Produced non-financial assets,LE00000,AN10000,REVISED,273639
